theta,xi,yi,xc,yc,xo,yo,xb,yb,xct,yct,xot,yot,energy
1.3708,0.0000,0.0000,0.1987,0.9801,0.3416,1.1200,1.0000,0.2000,-0.0113,1.1943,-0.0769,1.6900,1626.8803
1.3718,0.0000,0.0000,0.1977,0.9803,0.3411,1.1197,1.0000,0.2000,-0.0114,1.1953,-0.0753,1.6912,9.1391
1.3727,0.0000,0.0000,0.1968,0.9805,0.3406,1.1194,1.0000,0.2000,-0.0116,1.1963,-0.0736,1.6924,9.1362
1.3737,0.0000,0.0000,0.1958,0.9806,0.3402,1.1190,1.0000,0.2000,-0.0118,1.1972,-0.0720,1.6936,9.1332
1.3747,0.0000,0.0000,0.1948,0.9808,0.3397,1.1187,1.0000,0.2000,-0.0120,1.1982,-0.0703,1.6948,9.1302
1.3757,0.0000,0.0000,0.1938,0.9810,0.3392,1.1184,1.0000,0.2000,-0.0122,1.1992,-0.0687,1.6960,9.1272
1.3767,0.0000,0.0000,0.1928,0.9812,0.3387,1.1180,1.0000,0.2000,-0.0123,1.2001,-0.0670,1.6971,9.1242
1.3777,0.0000,0.0000,0.1918,0.9814,0.3383,1.1177,1.0000,0.2000,-0.0125,1.2011,-0.0654,1.6983,9.1211
1.3787,0.0000,0.0000,0.1909,0.9816,0.3378,1.1173,1.0000,0.2000,-0.0127,1.2020,-0.0637,1.6994,9.1181
1.3797,0.0000,0.0000,0.1899,0.9818,0.3373,1.1170,1.0000,0.2000,-0.0129,1.2029,-0.0621,1.7005,9.1150
1.3807,0.0000,0.0000,0.1889,0.9820,0.3368,1.1166,1.0000,0.2000,-0.0130,1.2039,-0.0604,1.7016,9.1119
1.3817,0.0000,0.0000,0.1879,0.9822,0.3363,1.1163,1.0000,0.2000,-0.0132,1.2048,-0.0587,1.7027,9.1087
1.3827,0.0000,0.0000,0.1869,0.9824,0.3358,1.1159,1.0000,0.2000,-0.0134,1.2057,-0.0571,1.7038,9.1056
1.3837,0.0000,0.0000,0.1860,0.9826,0.3353,1.1155,1.0000,0.2000,-0.0135,1.2066,-0.0554,1.7049,9.1024
1.3847,0.0000,0.0000,0.1850,0.9827,0.3348,1.1152,1.0000,0.2000,-0.0137,1.2075,-0.0538,1.7059,9.0992
